Read gold from ./data/gold.json
Read predict file from ./data/result_original.json
预测: 中国足球的队长是谁, 选自 answer_5, 得分: 1.0
预测: 如何调节车辆的背光亮度？, 选自 answer_7, 得分: 0.9851768612861633
预测: 在白天和夜晚，开启和未开启整车背光联动时，转动调光旋钮有什么不同？, 选自 answer_7, 得分: 0.9825795590877533
预测: 当车辆发生故障时，应该如何处理？, 选自 answer_4, 得分: 0.9479022920131683
预测: 为什么不建议自行修理车辆故障？, 选自 answer_1, 得分: 0.9417526721954346
预测: 什么是能量回收系统？, 选自 answer_1, 得分: 0.9928147792816162
预测: 如何知道车辆正在进行能量回收？, 选自 answer_1, 得分: 0.9560533761978149
预测: 影响能量回收多少的因素有哪些？, 选自 answer_6, 得分: 0.9247759878635406
预测: 什么是智能远近光控制系统？, 选自 answer_6, 得分: 0.9777672290802002
预测: 在什么情况下可以开启智能远近光控制系统？, 选自 answer_4, 得分: 0.9750322699546814
预测: 哪些因素可能导致智能远近光控制系统无法正常工作？, 选自 answer_6, 得分: 0.9288776218891144
预测: 如何启用前除霜/除雾功能？, 选自 answer_6, 得分: 0.9596905410289764
预测: 当我开启前挡风玻璃的去冰去雾模式时，车辆会有什么反应？, 选自 answer_7, 得分: 0.9516986310482025
预测: 为什么驾驶之前需要确保挡风玻璃无冰渣、积雪或冷凝水？, 选自 answer_1, 得分: 0.9334726631641388
预测: 什么情况下车辆需要进行报废处理？, 选自 answer_4, 得分: 0.9934791624546051
预测: 什么是遥控泊车（RPA）？, 选自 answer_1, 得分: 0.9557781219482422
预测: 使用Lynk&CoApp的RPA功能需要注意什么？, 选自 answer_7, 得分: 0.9761121273040771
预测: 如何开启方向盘助力与驾驶模式联动？, 选自 answer_3, 得分: 0.9600975811481476
预测: 有哪些可选的方向盘转向助力模式？, 选自 answer_1, 得分: 1.0
预测: 主动式座舱清洁系统的作用是什么？, 选自 answer_7, 得分: 0.9806875586509705
预测: 全景天窗是由几部分组成的？, 选自 answer_1, 得分: 1.0
预测: 如何使用位置记忆功能？, 选自 answer_6, 得分: 0.9665065109729767
预测: 如何更换后挡风玻璃雨刮片？, 选自 answer_7, 得分: 0.9774905741214752
预测: 在更换雨刮片时需要注意什么？, 选自 answer_7, 得分: 0.9682405292987823
预测: 如何添加香氛精油？, 选自 answer_2, 得分: 0.9857373535633087
预测: 我应该在哪里添加香氛精油？, 选自 answer_1, 得分: 0.9803880155086517
预测: 什么是转向助力系统？, 选自 answer_4, 得分: 0.9958065748214722
预测: 涉水行驶前应注意什么？, 选自 answer_4, 得分: 0.9978457987308502
预测: 涉水驾驶后需要进行哪些检查？, 选自 answer_1, 得分: 0.9939514994621277
预测: 什么时候应该为车辆打蜡？, 选自 answer_1, 得分: 0.9555506706237793


====================================================================================================
预测问题数：103, 预测最终得分：0.9715795097420517
====================================================================================================

结果文件保存至./data/metrics.json
