Read gold from ./data/gold.json
Read predict file from ./data/result_our_2.json
预测: 中国足球的队长是谁, 得分: 0.0
预测: 我应该在哪里添加香氛精油？, 得分: 0.8763842582702637
预测: 什么是转向助力系统？, 得分: 0.9217429757118225
预测: 涉水行驶前应注意什么？, 得分: 0.3978392481803894
预测: 涉水驾驶后需要进行哪些检查？, 得分: 0.9361880123615265
预测: 什么时候应该为车辆打蜡？, 得分: 0.38839560747146606


====================================================================================================
预测问题数：103, 预测最终得分：0.7374180817198985
====================================================================================================

结果文件保存至./data/metrics.json
